date, pm25
2021/5/15, 38
2021/5/16, 40
2021/5/17, 40
2021/5/18, 43
2021/5/19, 40
2021/5/20, 48
2021/5/21, 39
2021/5/22, 44
2021/5/23, 47
2021/5/24, 88
2021/5/25, 78
2021/5/26, 59
2021/5/27, 62
2021/5/28, 55
2021/5/29, 38
2021/5/30, 41
2021/5/31, 42
2021/6/1, 34
2021/6/2, 39
2021/6/3, 37
2021/6/4, 31
2021/6/5, 49
2021/6/6, 53
2021/6/7, 47
2021/6/8, 46
2021/6/9, 47
2021/6/10, 32
2021/6/11, 34
2021/6/12, 30
2021/6/13, 41
2021/6/14, 33
2021/6/15, 34
2021/6/16, 28
2021/6/21, 49
2021/6/22, 42
2021/6/23, 42
2021/6/24, 38
2021/6/25, 61
2021/6/26, 40
2021/6/27, 41
2021/6/28, 41
2021/6/29, 40
2021/6/30, 36
2021/1/4, 413
2021/1/5, 318
2021/1/6, 215
2021/1/7, 278
2021/1/8, 259
2021/1/9, 143
2021/1/10, 95
2021/1/11, 80
2021/1/12, 103
2021/1/13, 118
2021/1/14, 210
2021/1/15, 243
2021/1/16, 148
2021/1/17, 135
2021/1/18, 76
2021/1/19, 94
2021/1/20, 125
2021/1/21, 201
2021/1/22, 197
2021/1/23, 58
2021/1/25, 257
2021/1/26, 291
2021/1/27, 427
2021/1/28, 269
2021/1/29, 203
2021/1/30, 123
2021/1/31, 140
2021/2/1, 120
2021/2/2, 110
2021/2/3, 110
2021/2/4, 107
2021/2/5, 167
2021/2/6, 170
2021/2/7, 252
2021/2/8, 358
2021/2/9, 72
2021/2/10, 79
2021/2/11, 82
2021/2/12, 98
2021/2/13, 172
2021/2/14, 161
2021/2/15, 45
2021/2/16, 49
2021/2/17, 72
2021/2/18, 63
2021/2/19, 72
2021/2/20, 69
2021/2/21, 105
2021/2/22, 106
2021/2/23, 139
2021/2/24, 75
2021/2/25, 60
2021/2/26, 131
2021/2/27, 171
2021/2/28, 75
2021/3/1, 72
2021/3/2, 57
2021/3/3, 79
2021/3/4, 88
2021/3/5, 55
2021/3/6, 90
2021/3/7, 95
2021/3/8, 109
2021/3/9, 90
2021/3/10, 77
2021/3/11, 52
2021/3/12, 54
2021/3/13, 66
2021/3/14, 73
2021/3/15, 106
2021/3/16, 151
2021/3/17, 131
2021/3/18, 84
2021/3/19, 35
2021/3/20, 64
2021/3/21, 59
2021/3/22, 59
2021/3/23, 55
2021/3/24, 54
2021/3/25, 57
2021/3/26, 70
2021/3/27, 58
2021/3/28, 39
2021/3/29, 55
2021/3/30, 43
2021/3/31, 38
2020/10/1, 60
2020/10/2, 48
2020/10/3, 38
2020/10/4, 29
2020/10/5, 37
2020/10/6, 38
2020/10/7, 72
2020/10/8, 64
2020/10/9, 45
2020/10/10, 57
2020/10/11, 75
2020/10/12, 84
2020/10/13, 72
2020/10/14, 68
2020/10/15, 74
2020/10/16, 82
2020/10/17, 90
2020/10/18, 73
2020/10/19, 60
2020/10/20, 82
2020/10/21, 59
2020/10/22, 81
2020/10/23, 51
2020/10/24, 50
2020/10/25, 41
2020/10/26, 63
2020/10/27, 54
2020/10/28, 102
2020/10/29, 85
2020/10/30, 111
2020/10/31, 104
2020/11/1, 113
2020/11/2, 74
2020/11/3, 76
2020/11/4, 100
2020/11/5, 93
2020/11/6, 107
2020/11/7, 62
2020/11/8, 78
2020/11/9, 48
2020/11/10, 58
2020/11/11, 66
2020/11/12, 85
2020/11/13, 92
2020/11/14, 93
2020/11/15, 71
2020/11/16, 44
2020/11/17, 135
2020/11/18, 123
2020/11/19, 107
2020/11/20, 202
2020/11/21, 200
2020/11/22, 264
2020/11/23, 143
2020/11/24, 191
2020/11/25, 146
2020/11/26, 88
2020/11/27, 86
2020/11/28, 72
2020/11/29, 56
2020/11/30, 176
2020/12/1, 256
2020/12/2, 105
2020/12/3, 74
2020/12/4, 134
2020/12/5, 113
2020/12/6, 151
2020/12/7, 176
2020/12/8, 251
2020/12/9, 139
2020/12/10, 153
2020/12/14, 267
2020/12/15, 276
2020/12/16, 208
2020/12/17, 211
2020/12/18, 136
2020/12/19, 79
2020/12/20, 88
2020/12/21, 126
2020/12/22, 239
2020/12/23, 151
2020/12/24, 208
2020/12/25, 168
2020/12/26, 219
2020/12/27, 310
2020/12/28, 198
2020/12/29, 129
2020/12/30, 174
2020/12/31, 260
2021/1/1, 327
2021/1/2, 317
2021/1/3, 339
2020/7/1, 118
2020/7/2, 29
2020/7/3, 27
2020/7/4, 17
2020/7/5, 12
2020/7/6, 21
2020/7/7, 14
2020/7/8, 36
2020/7/9, 29
2020/7/10, 22
2020/7/11, 17
2020/7/12, 14
2020/7/13, 24
2020/7/14, 26
2020/7/15, 23
2020/7/16, 24
2020/7/17, 14
2020/7/18, 19
2020/7/19, 18
2020/7/20, 20
2020/7/21, 14
2020/7/22, 14
2020/7/23, 20
2020/7/24, 28
2020/7/25, 15
2020/7/26, 24
2020/7/27, 15
2020/7/28, 11
2020/7/29, 16
2020/7/30, 14
2020/7/31, 19
2020/8/1, 14
2020/8/2, 17
2020/8/3, 13
2020/8/4, 16
2020/8/5, 16
2020/8/6, 20
2020/8/7, 22
2020/8/8, 18
2020/8/9, 19
2020/8/10, 13
2020/8/11, 14
2020/8/12, 33
2020/8/13, 31
2020/8/14, 20
2020/8/15, 43
2020/8/16, 22
2020/8/17, 42
2020/8/18, 21
2020/8/19, 23
2020/8/20, 19
2020/8/21, 15
2020/8/22, 28
2020/8/23, 28
2020/8/24, 43
2020/8/25, 89
2020/8/26, 69
2020/8/27, 30
2020/8/28, 17
2020/8/29, 25
2020/8/30, 20
2020/8/31, 27
2020/9/1, 25
2020/9/2, 38
2020/9/3, 22
2020/9/4, 19
2020/9/5, 32
2020/9/6, 17
2020/9/7, 27
2020/9/8, 44
2020/9/9, 37
2020/9/10, 42
2020/9/11, 41
2020/9/12, 37
2020/9/13, 25
2020/9/14, 33
2020/9/15, 39
2020/9/16, 25
2020/9/17, 40
2020/9/18, 13
2020/9/19, 25
2020/9/20, 27
2020/9/21, 26
2020/9/22, 26
2020/9/23, 36
2020/9/24, 22
2020/9/25, 36
2020/9/26, 32
2020/9/27, 36
2020/9/28, 31
2020/9/29, 44
2020/9/30, 50
2020/4/1, 50
2020/4/2, 42
2020/4/3, 23
2020/4/4, 33
2020/4/5, 36
2020/4/6, 41
2020/4/7, 34
2020/4/8, 38
2020/4/9, 31
2020/4/10, 45
2020/4/11, 63
2020/4/12, 42
2020/4/13, 40
2020/4/14, 40
2020/4/15, 29
2020/4/16, 35
2020/4/17, 40
2020/4/18, 26
2020/4/19, 26
2020/4/20, 24
2020/4/21, 16
2020/4/22, 18
2020/4/23, 26
2020/4/24, 20
2020/4/25, 30
2020/4/26, 56
2020/4/27, 43
2020/4/28, 61
2020/4/29, 26
2020/4/30, 12
2020/5/1, 26
2020/5/2, 23
2020/5/3, 22
2020/5/4, 27
2020/5/5, 29
2020/5/6, 37
2020/5/7, 27
2020/5/8, 21
2020/5/9, 15
2020/5/10, 19
2020/5/11, 18
2020/5/12, 18
2020/5/13, 23
2020/5/14, 18
2020/5/15, 25
2020/5/16, 44
2020/5/17, 33
2020/5/18, 25
2020/5/19, 21
2020/5/20, 15
2020/5/21, 14
2020/5/22, 23
2020/5/23, 36
2020/5/24, 31
2020/5/25, 45
2020/5/26, 34
2020/5/27, 21
2020/5/28, 39
2020/5/29, 42
2020/5/30, 32
2020/5/31, 28
2020/6/1, 27
2020/6/2, 29
2020/6/3, 44
2020/6/4, 70
2020/6/5, 42
2020/6/6, 45
2020/6/7, 46
2020/6/8, 53
2020/6/9, 29
2020/6/10, 16
2020/6/11, 14
2020/6/12, 11
2020/6/13, 17
2020/6/14, 18
2020/6/15, 11
2020/6/16, 33
2020/6/17, 35
2020/6/18, 26
2020/6/19, 30
2020/6/20, 24
2020/6/21, 35
2020/6/22, 60
2020/6/23, 33
2020/6/24, 9
2020/6/25, 18
2020/6/26, 17
2020/6/27, 35
2020/6/28, 17
2020/6/29, 12
2020/6/30, 23
2020/1/1, 101
2020/1/2, 126
2020/1/3, 82
2020/1/4, 88
2020/1/5, 120
2020/1/6, 146
2020/1/7, 140
2020/1/8, 118
2020/1/9, 147
2020/1/10, 179
2020/1/11, 98
2020/1/12, 138
2020/1/13, 146
2020/1/14, 179
2020/1/15, 133
2020/1/16, 125
2020/1/17, 135
2020/1/18, 159
2020/1/19, 154
2020/1/20, 121
2020/1/21, 133
2020/1/22, 140
2020/1/24, 92
2020/1/25, 103
2020/1/26, 122
2020/1/27, 107
2020/1/28, 106
2020/1/29, 161
2020/1/30, 180
2020/1/31, 150
2020/2/1, 83
2020/2/2, 79
2020/2/3, 85
2020/2/4, 104
2020/2/5, 91
2020/2/6, 93
2020/2/7, 66
2020/2/8, 37
2020/2/9, 39
2020/2/10, 41
2020/2/11, 79
2020/2/12, 149
2020/2/13, 89
2020/2/14, 81
2020/2/15, 105
2020/2/16, 48
2020/2/17, 100
2020/2/18, 108
2020/2/19, 93
2020/2/20, 133
2020/2/21, 121
2020/2/22, 47
2020/2/23, 92
2020/2/24, 164
2020/2/25, 46
2020/2/26, 31
2020/2/27, 51
2020/2/28, 69
2020/2/29, 130
2020/3/1, 86
2020/3/2, 46
2020/3/3, 82
2020/3/4, 89
2020/3/5, 117
2020/3/6, 53
2020/3/7, 54
2020/3/8, 111
2020/3/9, 114
2020/3/10, 117
2020/3/11, 114
2020/3/12, 108
2020/3/13, 79
2020/3/14, 70
2020/3/15, 54
2020/3/16, 46
2020/3/17, 53
2020/3/18, 72
2020/3/19, 61
2020/3/20, 78
2020/3/21, 51
2020/3/22, 31
2020/3/23, 43
2020/3/24, 66
2020/3/25, 62
2020/3/26, 98
2020/3/27, 101
2020/3/28, 66
2020/3/29, 59
2020/3/30, 76
2020/3/31, 75
2019/7/1, 77
2019/7/2, 79
2019/7/3, 75
2019/7/4, 66
2019/7/5, 72
2019/7/6, 68
2019/7/7, 63
2019/7/8, 62
2019/7/9, 69
2019/7/10, 61
2019/7/11, 63
2019/7/12, 76
2019/7/13, 73
2019/7/14, 69
2019/7/15, 71
2019/7/16, 75
2019/7/17, 81
2019/7/18, 76
2019/7/19, 70
2019/7/20, 75
2019/7/21, 78
2019/7/22, 86
2019/7/23, 145
2019/7/24, 95
2019/7/25, 79
2019/7/26, 80
2019/7/27, 122
2019/7/28, 111
2019/7/29, 107
2019/7/30, 87
2019/7/31, 84
2019/8/1, 68
2019/8/2, 69
2019/8/3, 79
2019/8/4, 74
2019/8/5, 74
2019/8/6, 74
2019/8/7, 78
2019/8/8, 79
2019/8/9, 81
2019/8/10, 77
2019/8/11, 76
2019/8/12, 79
2019/8/13, 88
2019/8/14, 84
2019/8/15, 65
2019/8/16, 69
2019/8/17, 62
2019/8/18, 60
2019/8/19, 63
2019/8/20, 69
2019/8/21, 68
2019/8/22, 69
2019/8/23, 65
2019/8/24, 69
2019/8/25, 65
2019/8/26, 70
2019/8/27, 75
2019/8/28, 73
2019/8/29, 77
2019/9/4, 82
2019/9/5, 67
2019/9/6, 58
2019/9/7, 65
2019/9/8, 76
2019/9/9, 65
2019/9/10, 59
2019/9/11, 63
2019/9/12, 70
2019/9/13, 72
2019/9/14, 84
2019/9/15, 68
2019/9/16, 51
2019/9/17, 57
2019/9/18, 69
2019/9/19, 71
2019/9/20, 76
2019/9/21, 84
2019/9/22, 72
2019/9/23, 106
2019/9/24, 109
2019/9/25, 97
2019/9/26, 97
2019/9/27, 93
2019/9/28, 95
2019/9/29, 81
2019/9/30, 84
2019/10/1, 77
2019/10/2, 73
2019/10/3, 76
2019/10/4, 78
2019/10/5, 92
2019/10/6, 95
2019/4/1, 68
2019/4/2, 88
2019/4/3, 69
2019/4/4, 95
2019/4/5, 72
2019/4/6, 68
2019/4/7, 66
2019/4/8, 78
2019/4/9, 77
2019/4/10, 71
2019/4/11, 62
2019/4/12, 66
2019/4/13, 72
2019/4/14, 82
2019/4/15, 74
2019/4/16, 62
2019/4/17, 64
2019/4/18, 69
2019/4/19, 82
2019/4/20, 77
2019/4/21, 76
2019/4/22, 65
2019/4/23, 65
2019/4/24, 64
2019/4/25, 58
2019/4/26, 67
2019/4/27, 62
2019/4/28, 64
2019/4/29, 77
2019/4/30, 65
2019/5/1, 63
2019/5/2, 59
2019/5/3, 57
2019/5/4, 64
2019/5/5, 64
2019/5/6, 67
2019/5/7, 67
2019/5/8, 66
2019/5/9, 63
2019/5/10, 73
2019/5/11, 73
2019/5/12, 85
2019/5/13, 68
2019/5/14, 77
2019/5/15, 76
2019/5/16, 72
2019/5/17, 85
2019/5/18, 72
2019/5/19, 62
2019/5/20, 61
2019/5/21, 65
2019/5/22, 63
2019/5/23, 61
2019/5/24, 77
2019/5/25, 63
2019/5/26, 67
2019/5/27, 66
2019/5/28, 62
2019/5/29, 61
2019/5/30, 62
2019/5/31, 67
2019/6/1, 72
2019/6/2, 70
2019/6/3, 64
2019/6/4, 66
2019/6/5, 58
2019/6/6, 53
2019/6/7, 62
2019/6/8, 58
2019/6/9, 62
2019/6/10, 61
2019/6/11, 55
2019/6/12, 55
2019/6/13, 60
2019/6/14, 62
2019/6/15, 62
2019/6/16, 58
2019/6/17, 65
2019/6/18, 64
2019/6/19, 64
2019/6/20, 59
2019/6/21, 64
2019/6/22, 67
2019/6/23, 59
2019/6/24, 58
2019/6/25, 65
2019/6/26, 60
2019/6/27, 68
2019/6/28, 66
2019/6/29, 64
2019/6/30, 58
2019/2/13, 154
2019/2/14, 125
2019/2/15, 119
2019/2/16, 80
2019/2/17, 113
2019/2/18, 83
2019/2/19, 101
2019/2/20, 95
2019/2/21, 86
2019/2/22, 124
2019/2/23, 137
2019/2/24, 80
2019/2/25, 93
2019/2/26, 108
2019/2/27, 130
2019/2/28, 117
2019/3/1, 118
2019/3/2, 131
2019/3/3, 84
2019/3/4, 77
2019/3/5, 108
